school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
ELKHORN CITY HIGH SCHOOL,PIKE COUNTY,2001,2002,250,high,ELKHORN CITY,,7,False,
FEDS CREEK HIGH SCHOOL,PIKE COUNTY,2001,2002,236,high,FEDSCREEK,,7,False,
GREASY CREEK ELEMENTARY SCHOOL,PIKE COUNTY,2001,2002,101,elementary,SHELBIANA,,7,True,
LOOKOUT ELEMENTARY SCHOOL,PIKE COUNTY,2001,2002,212,elementary,LOOKOUT,,7,True,
MILLARD HIGH SCHOOL,PIKE COUNTY,2001,2002,511,high,PIKEVILLE,,6,False,
NORTHSIDE ELEMENTARY SCHOOL,SHELBY COUNTY,2001,2002,280,middle,SHELBYVILLE,,6,False,
THIRD DISTRICT ELEMENTARY SCHOOL,BUTLER COUNTY,2002,2003,94,elementary,ROCHESTER,21031,7,True,
BELLEWOOD PRESBYTERIAN HOME ALT SCH,FAYETTE COUNTY,2002,2003,13,elementary,LEXINGTON,21067,8,False,
LYNNVALE ELEMENTARY SCHOOL,HARDIN COUNTY,2002,2003,364,elementary,WHITE MILLS,21093,8,True,
VISALIA ELEMENTARY SCHOOL,KENTON COUNTY,2002,2003,138,elementary,COVINGTON,21117,8,False,
BEECH FORK ELEMENTARY SCHOOL,LESLIE COUNTY,2002,2003,82,elementary,HELTON,21131,7,True,
MANNSVILLE ELEMENTARY SCHOOL,TAYLOR COUNTY,2002,2003,81,elementary,MANNSVILLE,21217,7,True,
AUGUSTA ELEMENTARY SCHOOL,AUGUSTA INDEPENDENT,2003,2004,148,elementary,AUGUSTA,21023,8,False,
AUGUSTA HIGH SCHOOL,AUGUSTA INDEPENDENT,2003,2004,130,high,AUGUSTA,21023,8,False,
LAUREL CREEK ELEMENTARY SCHOOL,CLAY COUNTY,2003,2004,155,elementary,MANCHESTER,21051,7,False,
PHILPOT ELEMENTARY SCHOOL,DAVIESS COUNTY,2003,2004,175,elementary,PHILPOT,21059,8,True,
BALD KNOB ELEMENTARY SCHOOL,FRANKLIN COUNTY,2003,2004,175,elementary,FRANKFORT,21073,7,False,
MCKELL UPPER ELEMENTARY SCHOOL,GREENUP COUNTY,2003,2004,181,middle,SOUTH SHORE,21089,8,False,
MOUTH OF PIGEON ROOST ELEM SCHOOL,MARTIN COUNTY,2003,2004,130,elementary,PILGRIM,21159,7,True,
GRAHAM ELEMENTARY SCHOOL,MUHLENBERG COUNTY,2003,2004,214,elementary,GRAHAM,21177,7,True,
LAKE MALONE ELEMENTARY SCHOOL,MUHLENBERG COUNTY,2003,2004,131,elementary,BELTON,21177,7,True,
CHAPLIN ELEMENTARY SCHOOL,NELSON COUNTY,2003,2004,133,elementary,CHAPLIN,21179,8,True,
